bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,4.455,1.74,0.181,0.357,,22.5,,,,,,0.0129,0.0094,0.0094,,,
,4.455,1.74,0.181,0.357,,37.5,,,,,,0.00779,0.0091,0.0091,,,
,4.455,1.74,0.181,0.357,,52.5,,,,,,0.0186,0.0085,0.0085,,,
,4.455,1.74,0.181,0.357,,67.5,,,,,,0.00556,0.0081,0.0081,,,
,4.455,1.74,0.181,0.357,,82.5,,,,,,0.0124,0.0075,0.0075,,,
,4.455,1.74,0.181,0.357,,97.5,,,,,,0.00827,0.0071,0.0071,,,
,4.455,1.74,0.181,0.357,,112.5,,,,,,0.00751,0.0066,0.0066,,,
,4.455,1.74,0.181,0.357,,127.5,,,,,,0.00989,0.0062,0.0062,,,
,4.455,1.74,0.181,0.357,,142.5,,,,,,0.00727,0.006,0.006,,,
,4.455,1.74,0.181,0.357,,157.5,,,,,,0.00426,0.0059,0.0059,,,
,4.455,1.74,0.181,0.357,,172.5,,,,,,0.00768,0.0058,0.0058,,,
,4.455,1.74,0.181,0.357,,187.5,,,,,,0.00512,0.0058,0.0058,,,
,4.455,1.74,0.181,0.357,,202.5,,,,,,0.00199,0.006,0.006,,,
,4.455,1.74,0.181,0.357,,217.5,,,,,,-0.0155,0.0061,0.0061,,,
,4.455,1.74,0.181,0.357,,232.5,,,,,,-0.00643,0.0062,0.0062,,,
,4.455,1.74,0.181,0.357,,247.5,,,,,,-0.0031,0.0066,0.0066,,,
